Uses Octree;Spheres;Max Octree Depth;Num Samples;Max Rays Depth;Screen Width;Screen Height;Min;Max;Avg;Min FPS;Max FPS;Avg FPS
1; 100; 1; 16; 8; 800; 600; 0.0097182; 0.0150253; 0.0124704; 66.5544; 102.9; 80.5338
1; 100; 5; 16; 8; 800; 600; 0.0263328; 0.0331142; 0.029314; 30.1985; 37.9755; 34.1831
1; 100; 10; 16; 8; 800; 600; 0.0261444; 0.0342553; 0.0298752; 29.1926; 38.2491; 33.5794
1; 100; 1; 16; 8; 1920; 1080; 0.025723; 0.0322845; 0.0292361; 30.9746; 38.8757; 34.2352
1; 100; 5; 16; 8; 1920; 1080; 0.0642822; 0.0738667; 0.067366; 13.5379; 15.5564; 14.8533
1; 100; 10; 16; 8; 1920; 1080; 0.0663746; 0.076852; 0.0698674; 13.012; 15.066; 14.3209
1; 100; 1; 16; 16; 800; 600; 0.0088015; 0.0142674; 0.011816; 70.0899; 113.617; 84.9735
1; 100; 5; 16; 16; 800; 600; 0.0210366; 0.0334432; 0.0272562; 29.9014; 47.5362; 36.8842
1; 100; 10; 16; 16; 800; 600; 0.0272484; 0.0352493; 0.0302663; 28.3694; 36.6994; 33.1332
1; 100; 1; 16; 16; 1920; 1080; 0.0280043; 0.0338616; 0.0300372; 29.532; 35.7088; 33.3244
1; 100; 5; 16; 16; 1920; 1080; 0.0676505; 0.0771074; 0.0720825; 12.9689; 14.7819; 13.8855
1; 100; 10; 16; 16; 1920; 1080; 0.0648174; 0.0714623; 0.0677193; 13.9934; 15.428; 14.7733
1; 100; 1; 32; 4; 800; 600; 0.0136949; 0.0243977; 0.020003; 40.9875; 73.0199; 50.285
1; 100; 5; 32; 4; 800; 600; 0.0405759; 0.0688562; 0.0530508; 14.523; 24.6452; 18.9318
1; 100; 10; 32; 4; 800; 600; 0.0460425; 0.0618249; 0.0505426; 16.1747; 21.7191; 19.8517
1; 100; 1; 32; 4; 1920; 1080; 0.0506855; 0.0593043; 0.0533259; 16.8622; 19.7295; 18.7642
1; 100; 5; 32; 4; 1920; 1080; 0.129506; 0.151562; 0.140492; 6.59797; 7.72162; 7.12317
1; 100; 10; 32; 4; 1920; 1080; 0.11406; 0.133126; 0.119878; 7.51171; 8.76735; 8.34607
1; 100; 1; 32; 8; 800; 600; 0.0193091; 0.0274379; 0.0227559; 36.4459; 51.7891; 44.0908
1; 100; 5; 32; 8; 800; 600; 0.0525084; 0.0644665; 0.0580336; 15.5119; 19.0446; 17.2708
1; 100; 10; 32; 8; 800; 600; 0.0577708; 0.0769725; 0.0651707; 12.9917; 17.3098; 15.382
1; 100; 1; 32; 8; 1920; 1080; 0.0524663; 0.0594533; 0.0549606; 16.8199; 19.0599; 18.202
1; 100; 5; 32; 8; 1920; 1080; 0.136158; 0.152651; 0.142111; 6.5509; 7.34441; 7.0407
1; 100; 10; 32; 8; 1920; 1080; 0.131905; 0.150822; 0.139217; 6.63034; 7.58124; 7.18862
1; 100; 1; 32; 16; 800; 600; 0.0145327; 0.0271943; 0.0230186; 36.7724; 68.8103; 43.6608
1; 100; 5; 32; 16; 800; 600; 0.0505263; 0.063837; 0.0570224; 15.6649; 19.7917; 17.5774
1; 100; 10; 32; 16; 800; 600; 0.0508901; 0.069604; 0.0604179; 14.367; 19.6502; 16.6061
1; 100; 1; 32; 16; 1920; 1080; 0.0441945; 0.0773956; 0.0613088; 12.9206; 22.6272; 16.4069
1; 100; 5; 32; 16; 1920; 1080; 0.125958; 0.143411; 0.133349; 6.97294; 7.93914; 7.50253
1; 100; 10; 32; 16; 1920; 1080; 0.119425; 0.138323; 0.124923; 7.22945; 8.37344; 8.00908
1; 250; 1; 4; 4; 800; 600; 0.0071144; 0.0112916; 0.0092463; 88.5614; 140.56; 108.594
1; 250; 5; 4; 4; 800; 600; 0.0072357; 0.0135138; 0.011627; 73.9984; 138.204; 86.54
1; 250; 10; 4; 4; 800; 600; 0.0096344; 0.0135127; 0.0112997; 74.0045; 103.795; 88.8065
1; 250; 1; 4; 4; 1920; 1080; 0.0262355; 0.0308806; 0.0279234; 32.3828; 38.1163; 35.8501
1; 250; 5; 4; 4; 1920; 1080; 0.024349; 0.0432979; 0.0330782; 23.0958; 41.0694; 30.3057
1; 250; 10; 4; 4; 1920; 1080; 0.0319287; 0.0381392; 0.0338199; 26.2197; 31.3198; 29.5892
1; 250; 1; 4; 8; 800; 600; 0.002372; 0.0125744; 0.0105559; 79.5267; 421.585; 99.9227
1; 250; 5; 4; 8; 800; 600; 0.0092967; 0.0179883; 0.013255; 55.5917; 107.565; 75.9487
1; 250; 10; 4; 8; 800; 600; 0.0080975; 0.0152441; 0.0133497; 65.5991; 123.495; 75.2866
1; 250; 1; 4; 8; 1920; 1080; 0.0310322; 0.0363254; 0.0330835; 27.5289; 32.2246; 30.2494
1; 250; 5; 4; 8; 1920; 1080; 0.0350347; 0.0429843; 0.038825; 23.2643; 28.5431; 25.7779
1; 250; 10; 4; 8; 1920; 1080; 0.0254746; 0.0518514; 0.0387575; 19.2859; 39.2548; 25.8806
1; 250; 1; 4; 16; 800; 600; 0.0060782; 0.0130609; 0.011149; 76.5644; 164.522; 90.6874
1; 250; 5; 4; 16; 800; 600; 0.0072518; 0.0151109; 0.0127914; 66.1774; 137.897; 78.6351
1; 250; 10; 4; 16; 800; 600; 0.0099448; 0.0154992; 0.0131475; 64.5195; 100.555; 76.3623
1; 250; 1; 4; 16; 1920; 1080; 0.0248861; 0.0431536; 0.0343395; 23.173; 40.1831; 29.19
1; 250; 5; 4; 16; 1920; 1080; 0.034626; 0.0450578; 0.0401924; 22.1937; 28.88; 24.8978
1; 250; 10; 4; 16; 1920; 1080; 0.0281996; 0.0420852; 0.0388377; 23.7613; 35.4615; 25.7844
1; 250; 1; 16; 4; 800; 600; 0.0280841; 0.0375004; 0.0335566; 26.6664; 35.6073; 29.844
1; 250; 5; 16; 4; 800; 600; 0.040176; 0.047525; 0.0434108; 21.0416; 24.8905; 23.0707
1; 250; 10; 16; 4; 800; 600; 0.0411476; 0.0486317; 0.0440665; 20.5627; 24.3028; 22.7133
1; 250; 1; 16; 4; 1920; 1080; 0.108831; 0.116746; 0.111533; 8.5656; 9.18852; 8.96709
1; 250; 5; 16; 4; 1920; 1080; 0.131221; 0.145636; 0.134355; 6.86645; 7.62071; 7.44479
1; 250; 10; 16; 4; 1920; 1080; 0.129197; 0.137193; 0.1327; 7.289; 7.74009; 7.53688
1; 250; 1; 16; 8; 800; 600; 0.0219954; 0.0480759; 0.040708; 20.8004; 45.4641; 24.7132
1; 250; 5; 16; 8; 800; 600; 0.0485013; 0.0592463; 0.0525437; 16.8787; 20.618; 19.0569
1; 250; 10; 16; 8; 800; 600; 0.0471266; 0.0565933; 0.0509706; 17.6699; 21.2194; 19.6446
1; 250; 1; 16; 8; 1920; 1080; 0.118336; 0.133514; 0.127747; 7.48983; 8.45052; 7.83186
1; 250; 5; 16; 8; 1920; 1080; 0.149927; 0.166332; 0.154808; 6.01206; 6.66993; 6.46136
1; 250; 10; 16; 8; 1920; 1080; 0.119161; 0.172119; 0.143739; 5.80992; 8.39202; 7.0526
1; 250; 1; 16; 16; 800; 600; 0.0387633; 0.0458131; 0.041593; 21.8278; 25.7976; 24.0673
1; 250; 5; 16; 16; 800; 600; 0.0475458; 0.056377; 0.051428; 17.7377; 21.0324; 19.4704
1; 250; 10; 16; 16; 800; 600; 0.0262796; 0.0595821; 0.0471951; 16.7836; 38.0523; 22.2469
1; 250; 1; 16; 16; 1920; 1080; 0.129087; 0.140116; 0.133474; 7.13693; 7.74672; 7.49353
1; 250; 5; 16; 16; 1920; 1080; 0.155727; 0.174149; 0.165305; 5.7422; 6.42151; 6.05066
1; 250; 10; 16; 16; 1920; 1080; 0.151985; 0.165259; 0.156826; 6.05111; 6.57961; 6.37784
1; 250; 1; 32; 4; 800; 600; 0.0629456; 0.0717684; 0.0662618; 13.9337; 15.8867; 15.102
